Company, Position, location, link
이츠팀(ITsTEAM),임베디드 SW 개발자 채용 [C++/Python],광주 북구 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/40794361?Oem_Code=C1&logpath=1&stext=python&listno=122
㈜지아이티아카데미신촌,파이썬/자바/it 선생님 모십니다,서울 마포구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/40680583?Oem_Code=C1&logpath=1&stext=python&listno=123
인사이너리,개발자(Python) 경력직 채용,서울 강남구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/40641234?Oem_Code=C1&logpath=1&stext=python&listno=124
㈜포스코,2023년 상반기 포스코 생산기술직(포항근무) 채용형 인턴 신입사원 모집,경북 포항시,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41237572?Oem_Code=C1&logpath=1&stext=python&listno=125
㈜파마리서치,파마리서치 연구개발 및 강릉공장 채용,경기 성남시 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41255626?Oem_Code=C1&logpath=1&stext=python&listno=126
㈜포스코,2023년 상반기 포스코그룹 신입/경력 채용,경북 포항시 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41252806?Oem_Code=C1&logpath=1&stext=python&listno=127
에이에스엠엘코리아㈜,ASML CS 부서 경력 엔지니어 채용(한국/일본),경기 화성시 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41240535?Oem_Code=C1&logpath=1&stext=python&listno=128
베스핀글로벌㈜,[베스핀글로벌 자회사] Bespin Global Tech Center 채용연계형 교육훈련생 3기 모집,부산 연제구 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41246182?Oem_Code=C1&logpath=1&stext=python&listno=129
㈜엔씨소프트,엔씨소프트 부문별 수시 채용,경기 성남시,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41237742?Oem_Code=C1&logpath=1&stext=python&listno=130
더이앤엠,2023년 각 부문 신입/경력 채용,서울 서초구 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41214175?Oem_Code=C1&logpath=1&stext=python&listno=131
GS건설㈜,GS건설 신사업 및 인프라 분야 정규직 경력사원 모집,서울 종로구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41176617?Oem_Code=C1&logpath=1&stext=python&listno=132
삼성증권,해외주식 마케팅 업무지원 파트타이머 채용,서울 서초구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41230264?Oem_Code=C1&logpath=1&stext=python&listno=133
㈔한국산업기술진흥협회,한국산업기술진흥협회 정규직 직원 공개채용 공고,서울 서초구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41223673?Oem_Code=C1&logpath=1&stext=python&listno=134
㈜소만사,정보보안 소만사에서 채용 판도라 오픈,서울 영등포구 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41209183?Oem_Code=C1&logpath=1&stext=python&listno=135
㈜하나금융티아이,[하나금융TI] 금융IT 경력사원 모집,인천 서구 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41213146?Oem_Code=C1&logpath=1&stext=python&listno=136
㈜농협물류,2023년도 농협물류 상반기 부문별 신입/경력 채용,경기,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41191686?Oem_Code=C1&logpath=1&stext=python&listno=137
미래에셋증권㈜,미래에셋증권 경력사원 채용,서울 중구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41202996?Oem_Code=C1&logpath=1&stext=python&listno=138
잡코리아(유),[잡코리아] 신규 서비스 및 솔루션 개발,서울 서초구 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41204047?Oem_Code=C1&logpath=1&stext=python&listno=139
로지스올그룹,LogisALL 신입/경력사원 채용(IT시스템 개발  디자인&퍼블리싱  전산지원),서울 마포구 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41172627?Oem_Code=C1&logpath=1&stext=python&listno=140
교원그룹,교원그룹 2월 신입/경력 그룹 수시채용,서울 중구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41144252?Oem_Code=C1&logpath=1&stext=python&listno=141
㈜지아이티,현대자동차 그룹사 (주)지아이티 상반기 대규모 수시 채용 (경력/신입),서울 송파구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41138222?Oem_Code=C1&logpath=1&stext=python&listno=142
㈜지아이티,현대자동차그룹 (주)지아이티 전장사업 검사설비 배선/회로설계 채용,서울 송파구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41138299?Oem_Code=C1&logpath=1&stext=python&listno=143
㈜지아이티,현대자동차그룹 (주)지아이티 연구소 전장 프로젝트 HW/개발 및 유지보수 인재채용,서울 송파구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41138291?Oem_Code=C1&logpath=1&stext=python&listno=144
GS네오텍㈜,2023년 GS네오텍 정규직 신입.경력사원/PJT전문직 채용,서울 구로구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41119443?Oem_Code=C1&logpath=1&stext=python&listno=145
㈜헥토이노베이션,헥토이노베이션 직군별 인재 모집(서비스기획/사업기획/개발/UX/UI 등),서울 강남구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/40736368?Oem_Code=C1&logpath=1&stext=python&listno=146
㈜신세계아이앤씨,신세계아이앤씨 SW개발/운영  기획  클라우드  AI  영업  보안 경력직 모집,서울 중구 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/40761026?Oem_Code=C1&logpath=1&stext=python&listno=147
메타넷디지털㈜,2023 메타넷 그룹 경력직 공개채용,서울 종로구 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41245214?Oem_Code=C1&logpath=1&stext=python&listno=148
㈜이크레더블,23년 상반기 각 부문별 직원모집,서울 구로구 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41200129?Oem_Code=C1&logpath=1&stext=python&listno=149
엔아이티서비스㈜,[네이버계열사][NIT Service] NAVER  LINE 서비스 플랫폼 운영,경기 성남시,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41176533?Oem_Code=C1&logpath=1&stext=python&listno=150
엔테크서비스 주식회사,SW QA 엔지니어 신입 공채,경기 성남시 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41052686?Oem_Code=C1&logpath=1&stext=python&listno=151
엔아이티서비스㈜,[네이버계열사][NIT Service] 네이버 파이낸셜 플랫폼 운영,경기 성남시,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41083577?Oem_Code=C1&logpath=1&stext=python&listno=152
㈜데이타솔루션,(주)데이타솔루션 통계SW기술지원 신입사원 채용 공고,서울 강남구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41059540?Oem_Code=C1&logpath=1&stext=python&listno=153
통로이미지㈜,[정규/경력] 클립아트코리아 IT개발자 인재 채용 (PHP),서울 중구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41267630?Oem_Code=C1&logpath=1&stext=python&listno=154
㈜아이엔지스토리,2023년 INGSTORY 개발팀 대규모 공개 채용,서울 서초구 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41252368?Oem_Code=C1&logpath=1&stext=python&listno=155
㈜이연에프엔씨,2023년 각 부문별 수시 채용,서울 강남구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41199894?Oem_Code=C1&logpath=1&stext=python&listno=156
㈜대우능력개발교육원,[전액국비무료] 자바기반 웹개발자/정보시스템구축(개발 운영)/웹디자이너/웹퍼블리셔 교육생 모집,서울 중랑구 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41235179?Oem_Code=C1&logpath=1&stext=python&listno=157
JW홀딩스㈜,JW그룹 2023년 2차 대졸 신입/경력 정규직 정기채용 [영업/마케팅  R&D  관리],서울,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41204280?Oem_Code=C1&logpath=1&stext=python&listno=158
한국정보기술연구원,2023년도 취업 역량 강화과정 교육생 모집,서울 구로구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41157919?Oem_Code=C1&logpath=1&stext=python&listno=159
㈜플럭시티,㈜플럭시티 2023년 상반기 각 부문 채용,서울 서초구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41135562?Oem_Code=C1&logpath=1&stext=python&listno=160
㈜토마토체인,[토마토체인] 웹개발자 / Frontend 개발자 / Backend 개발자 / 정보보안담당 / Android 개발자 / IOS 개발자,서울 마포구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/40968847?Oem_Code=C1&logpath=1&stext=python&listno=161
㈜에스에이엠지엔터테인먼트,애니메이션 제작본부 분야별 신입/경력 모집,서울 강남구 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41252435?Oem_Code=C1&logpath=1&stext=python&listno=162
SK이노베이션,2023년 상반기 SK이노베이션 계열 경력채용,서울 종로구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41191992?Oem_Code=C1&logpath=1&stext=python&listno=163
㈜트랜스코스모스,[TCK] 당사 고객상담 DATA 활용 분석 및 기획 담당자 (여의도)  oy7R,서울 영등포구 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41269245?Oem_Code=C1&logpath=1&stext=python&listno=164
㈜트랜스코스모스,[본사]DT사업본부 솔루션 기획사업 인재채용 9j2P,서울 영등포구 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41269159?Oem_Code=C1&logpath=1&stext=python&listno=165
링크제니시스,고졸  RPA 스크립트 개발자 채용,경기 안양시,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41268560?Oem_Code=C1&logpath=1&stext=python&listno=166
㈜이노와이어리스,[LIG그룹 계열사] 이노와이어리스 분석 S/W개발 신입 경력 모집,경기 성남시,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41267803?Oem_Code=C1&logpath=1&stext=python&listno=167
㈜인라이플,[주4.5일근무] 광고 플랫폼 기획 PM 인재 채용,서울 구로구 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41267752?Oem_Code=C1&logpath=1&stext=python&listno=168
㈜인라이플,[주4.5일근무] Frontend Developer (PHP) 인재채용,서울 구로구 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41267744?Oem_Code=C1&logpath=1&stext=python&listno=169
㈜코리아인,[유명외국계 리서치기업] 데이터/영문보고서 관리 인턴채용,서울 서대문구 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41263282?Oem_Code=C1&logpath=1&stext=python&listno=170
한국과학기술연구원,2023년 3월 연수직(Post-Doc./인턴연구원) 공개채용,전국,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41263369?Oem_Code=C1&logpath=1&stext=python&listno=171
지니언스(주),2023년 상반기 공개채용,경기 안양시 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41256195?Oem_Code=C1&logpath=1&stext=python&listno=172
㈜네오랩컨버전스,2023년 상반기 경력사원 채용 (해외영업/안드로이드개발),서울 구로구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41258504?Oem_Code=C1&logpath=1&stext=python&listno=173
인카금융서비스㈜,DBA 인력 채용,서울 성동구 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41257600?Oem_Code=C1&logpath=1&stext=python&listno=174
인카금융서비스㈜,IT 개발 인력 대규모채용,서울 성동구 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41257547?Oem_Code=C1&logpath=1&stext=python&listno=175
㈜인라이플,[주4.5일근무] Frontend Developer (JAVA) 채용,서울 구로구 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41255254?Oem_Code=C1&logpath=1&stext=python&listno=176
아이투맥스,[Salesforce/업계 1위] E-커머스 플랫폼 개발자(신입/경력) 채용,서울 마포구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41254829?Oem_Code=C1&logpath=1&stext=python&listno=177
아이투맥스,[Salesforce/업계 1위] 클라우드 플랫폼 개발자(신입/경력) 채용,서울 마포구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41254820?Oem_Code=C1&logpath=1&stext=python&listno=178
㈜셀바스에이아이,[셀바스AI] NLP 개발자 인재 채용 - 경력,서울 금천구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41254266?Oem_Code=C1&logpath=1&stext=python&listno=179
㈜셀바스에이아이,[셀바스AI] 음성인식 엔진 개발자 인재 채용 - 신입/경력,서울 금천구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41254251?Oem_Code=C1&logpath=1&stext=python&listno=180
㈜셀바스에이아이,[셀바스AI] 개발 PM 인재 채용 - 경력,서울 금천구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41254190?Oem_Code=C1&logpath=1&stext=python&listno=181
㈜셀바스에이아이,[셀바스AI] 인공지능 모델 개발자 채용 - 경력,서울 금천구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41254161?Oem_Code=C1&logpath=1&stext=python&listno=182
㈜위메프,[위메프서비스] Data Engineer,서울 강남구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41254032?Oem_Code=C1&logpath=1&stext=python&listno=183
도미노피자(청오디피케이),도미노피자 각부문(자회사/관계사포함) 공개채용,서울 강남구 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41246721?Oem_Code=C1&logpath=1&stext=python&listno=184
㈜비타소프트,인공지능(딥러닝)개발자  빅데이터 분석 (병역 특례  보충역 가능) 모십니다,서울 구로구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41248940?Oem_Code=C1&logpath=1&stext=python&listno=185
㈜아이디어키,[(주)아이디어키] 기획개발팀 신입/경력 채용,서울 강남구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41243751?Oem_Code=C1&logpath=1&stext=python&listno=186
리디㈜,[리디/RIDI] 프론트엔드 엔지니어(Global) 채용 중,서울 강남구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41247592?Oem_Code=C1&logpath=1&stext=python&listno=187
㈜앤씨앤,[앤씨앤/넥스트칩]2023년 3월 연구소  영업마케팅 각 부문 신입/경력 모집,경기 성남시,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41243885?Oem_Code=C1&logpath=1&stext=python&listno=188
㈜푸드나무,[푸드나무] 랭킹닭컴 ERP 운영 및 내부 프로세스 효율화 담당자 채용 (경력),서울 마포구 외,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41244146?Oem_Code=C1&logpath=1&stext=python&listno=189
교보정보통신,[교보정보통신] IT사업 부문별 경력사원 모집 (사업 확장에 따른 인재 채용),서울 종로구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41243689?Oem_Code=C1&logpath=1&stext=python&listno=190
(주)마이셀럽스,[마이셀럽스] 데이터 사이언티스트(NLP) 정규직 채용,서울 강남구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41242603?Oem_Code=C1&logpath=1&stext=python&listno=191
㈜한길아이티,응용 SW 개발 / 영업관리 신입/경력사원 공개채용,서울 구로구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41240154?Oem_Code=C1&logpath=1&stext=python&listno=192
위메이드,데이터 엔지니어,경기 성남시,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41239273?Oem_Code=C1&logpath=1&stext=python&listno=193
한일네트웍스㈜,한일네트웍스 웹개발자 채용(경력),서울 마포구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41238767?Oem_Code=C1&logpath=1&stext=python&listno=194
한일네트웍스㈜,한일네트웍스 안드로이드 앱 개발자 채용(경력),서울 마포구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41238749?Oem_Code=C1&logpath=1&stext=python&listno=195
㈜위메프,[위메프서비스] Data Analyst,서울 강남구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41238066?Oem_Code=C1&logpath=1&stext=python&listno=196
㈜위메프,[위메프서비스] DBA,서울 강남구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41234360?Oem_Code=C1&logpath=1&stext=python&listno=197
㈜스마일게이트홀딩스,[스마일게이트 홀딩스] [데이터플랫폼] 데이터 엔지니어 담당,경기 성남시,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41233473?Oem_Code=C1&logpath=1&stext=python&listno=198
㈜엔씨소프트,[엔씨소프트] NLP Research 분야 수시(3차) 모집,경기 성남시,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41231368?Oem_Code=C1&logpath=1&stext=python&listno=199
㈜이글루코퍼레이션,데이터 수집 개발 및 빅 데이터/사이버 위협 분석 채용,서울 송파구,https://www.jobkorea.co.kr/Search/?stext=+/Recruit/GI_Read/41230744?Oem_Code=C1&logpath=1&stext=python&listno=200
OpenCraft,Senior Open Source Developer & DevOps (Python  Django  React  AWS/OpenStack),Anywhere in the World,https://weworkremotely.com+/remote-jobs/opencraft-senior-open-source-developer-devops-python-django-react-aws-openstack
Proxify AB,Senior Python Engineer: Long-term job - 100% remote,Anywhere in the World,https://weworkremotely.com+/remote-jobs/proxify-ab-senior-python-engineer-long-term-job-100-remote
Trustworthy,Full Stack Software Engineer (React / Python),Anywhere in the World,https://weworkremotely.com+/remote-jobs/trustworthy-full-stack-software-engineer-react-python
NannyML,Senior Full-stack Engineer with Python,Anywhere in the World,https://weworkremotely.com+/remote-jobs/nannyml-senior-full-stack-engineer-with-python
Input Logic,Python Developer,Canada Only,https://weworkremotely.com+/remote-jobs/input-logic-python-developer
Doximity,Python Platform Engineer,Americas Only,https://weworkremotely.com+/remote-jobs/doximity-python-platform-engineer
XM,Software Engineer in Test – Python – Cyprus  Greece or Remote ,Anywhere in the World,https://weworkremotely.com+/remote-jobs/xm-software-engineer-in-test-python-cyprus-greece-or-remote-2
